병명,정의,원인,진단,치료,진료과
Rh 부적합 임신(Rh Incompatibility pregnancy),"Rh 부적합 임신은 임산부가 Rh 음성이고 태아는 Rh 양성일 때 발생합니다. 첫 번째 임신 때는 괜찮지만, 첫 출산 후 태아의 혈액(Rh양성)이 임산부의 혈액(Rh음성) 안에 들어오면 항체가 만들어집니다. 이 항체가 다음 임신에서 Rh 양성인 태아의 적혈구를 공격하면서 문제가 됩니다.               적혈구 항원 A, B의 부적합성이 가장 흔한 신생아 용혈성 질환의 원인임에도 불구하고 그 결과로 생기는 빈혈은 대개 가볍습니다. 모든 영아의 약 20%는 ABO 혈액형 부적합을 보이지만 5% 만이 임상적으로 의미를 갖습니다. 항 A, 항 B 항체는 대개 IgM이며, 이는 태반을 통과하지 못하여 태아 적혈구로 접근할 수 없기 때문입니다.  ABO부적합성에 의해 나타나는 태아의 문제는 D 동종 면역에 비해 가볍고 의미있는 빈혈을 일으키는 경우는 거의 없습니다. CDE 혈액형 체계는 c, C, D, e, E의 다섯개의 적혈구 항원으로 구성되는데 D 항원이 없는 경우를 Rh(-) 또는 D 음성으로 정의합니다. CDE 항원은 임상적으로 중요한 의미를 갖습니다. 이는 D 음성인 사람에게 한 번의 노출만으로도 면역 반응이 형성되기 때문입니다. ","Rh 부적합 임신의 원인을 Rh 음성인 산모에게 Rh 양성인 신생아가 태어나는 경우를 예로 들어 설명하면 다음과 같습니다. 임신 중에는 모체와 태아의 혈액 순환은 분리되어 있어 서로 섞일 수 없습니다. 적혈구도 정상적으로는 태반을 통과하지 못하지만, 출산 중이나 유산이 되면 태아의 적혈구가 모체의 혈액으로 들어갈 수 있습니다.  그렇게 되면 모체 혈액으로 들어온 태아의 혈액 때문에 모체의 면역 체계가 항체를 만들어서 혈액 내의 태아 적혈구를 파괴합니다. 그리고 다음에 Rh 양성인 태아를 다시 임신하면 이전 출산 또는 유산 시에 만들어진 항체는 태반을 건너가 태아의 적혈구를 파괴합니다.  이외에 자궁 외 임신, 유전적 양수 검사, 융모막 융모 생검, 태아 혈액 채취 등이 원인이 되기도 합니다. ","Rh 부적합 임신은 출생 전 진단에서는 문진과 혈액형 검사 및 간접 쿰스 검사를 통해 모체 혈청의 항 Rh 항체 존재 여부를 검사합니다. 양수 검사 등도 실시합니다. 태아 혈액형에 대한 직접 쿰스 검사, 혈청 빌리루빈 농도 검사, 특히 혈액 형태학적 검사는 Rh음성인 산모에서 태어난 신생아 모두에게 실시합니다. ","Rh 부적합 임신은 RhD 항원에 감작 여부를 확인한 후 처음 이환된 임신의 경우에 24주까지 매달 산모의 항체 역가를 반복해서 측정하고, 그 이후로는 2주마다 한번씩 측정합니다. 또한 초음파 검사를 통해 태아 수종 여부도 확인합니다.  항체 역가가 상승하여 기준치에 도달하고 양수 검사 또는 초음파 검사에서 태아 수혈이 필요한 상태로 평가되면 탯줄 천자를 통해 태아 혈색소 확인 및 태아 수혈을 시행합니다. 태아 신생아 용혈성 질환에 의한 태아 소실의 병력이 있는 산모나 이전 임신에서 자궁 내 태아 수혈이 필요했던 경우에는 동종 면역의 치료가 가능한 3차 의료기관에서 진료를 받도록 합니다.  심한 태아 용혈성 질환의 경우에는 자궁 내 태아 수혈의 효과가 증명되었습니다. 이 경우 탯줄을 통하여 직접 주입하는 방법이 많이 사용됩니다. 일반적으로 신선한 Rh 음성, O형 혈액형의 혈액을 산모의 혈액과 교차 시험한 후 사용하게 됩니다. 항체의 농도가 낮으면 임신을 지속하여 38주 경에 유도 분만을 할 수 있습니다. 항체의 농도가 높으면 더 일찍 유도 분만을 해야 합니다. 출산 후에는 교환 수혈을 하고 광선 치료 등을 통해 황달 치료를 해야 합니다.",산부인과
VDT 증후군(Visual Display Terminal Syndrome),"VDT 증후군이란 장시간 동안 모니터를 보며 키보드를 두드리는 작업을 할 때 생기는 각종 신체적, 정신적 장애를 이르는 말입니다. 이는 장시간 동안 컴퓨터, 스마트폰, 모바일 디바이스 등을 보는 젊은이에게 많이 나타나는 질환입니다.","VDT 증후군을 유발하는 요인은 다음과 같습니다. ① 사업장 요인 : 작업장 설계, 의자, 모니터, 키보드, 책상② 근로자 요인: 나이, 신체 조건, 작업 습관, 과거 병력③ 작업 환경 요인 : 진동, 조명, 소음, 온도, 습도, 환기④ 작업 요인 : 작업 자세, 작업 강도, 작업 시간, 휴식 시간",,"VDT 증후군의 가장 효과적인 치료 방법은 체조입니다. 컴퓨터 사용자에게는 손목, 목, 어깨 위주의 체조가 좋습니다. 주로 의자에 앉아서 할 수 있는 체조가 도움이 됩니다. 체조 방법은 8~12초간 자세를 유지하고, 3~5번 반복하는 것입니다. 스트레칭을 하는 동안은 자연스럽게 호흡합니다. 이러한 체조를 하루에 여러 번 시간이 날 때마다 실시합니다.  ① 손바닥 마주 대고 아래로 누르기 : 양손을 앞으로 하고 마주 보게 한 상태에서 손바닥이 떨어지지 않게 아래로 서서히 내립니다. 이때 손바닥이 떨어지면 안 됩니다.② 턱 뒤로 젖히기 : 양 엄지손가락을 턱에 대고 머리를 최대한 뒤로 젖힙니다.③ 손 등 누르기 : 한 손을 쭉 편 상태에서 손가락을 아래 방향으로 하여 손등을 지그시 누릅니다.④ 눈 누르기 : 양손을 최대한 빨리 비벼서 열을 발생시킨 후 양쪽 눈에 대고 원을 그리면서 천천히 눈동자 주변을 누릅니다.  ",정형외과
WPW 증후군(Wolff-Parkinson-White syndrome),"WPW 증후군은 심방과 심실 사이에 비정상적인 전기 회로가 존재해 이 통로로 전기적 신호가 먼저 전달되면서 심실근이 일찍 흥분하는 부정맥(맥박이 불규칙한 상태)의 일종을 가리키는 질환입니다. 심방과 심실 사이에 선천적으로 존재하는 비정상적인 전기 자극 전달 통로인 부전도로를 통한 전향 전도는 심방에서 심실로 전기 자극이 전도되는 것을 말합니다. 후향 전도는 심실에서 심방으로 전기 자극이 전도되는 것을 말합니다.  부전도로를 통해 전향 전도되는 전기 신호는 방실 결절을 통한 정상 전도에 비해 심실을 일찍 자극시키므로 조기 흥분이라 부릅니다. 이러한 현상이 나타나는 사람에게서 부전도로와 연관된 빠른 부정맥이 동반되어 있는 경우를 조기 흥분 증후군이라 부릅니다. 부정맥의 발생은 주로 부전도로 전향 전도되고 방실 결절을 통해 후향 전도가 되어 전기적인 루프(loop)를 형성함으로 인해 심방과 심실의 박동수가 매우 증가하는 발작성 상심실성 빈맥 때문입니다.  심방과 심실을 연결하는 부전도로 중 가장 흔한 것은 켄트(Kent) 섬유라는 것입니다. 이에 의한 조기 흥분 증후군은 볼프(Wolff), 파킨슨(Parkinson), 화이트(White) 등이 최초로 증례 보고했기 때문에 그들의 이름을 따 WPW 증후군이라 부릅니다. ","WPW 증후군은 선천적으로 심방과 심실 사이에 부전도로가 존재함으로써 발생합니다. 흔히 엡스타인 기형이 동반되며, 가족력이 있는 경우도 있습니다.",WPW 증후군은 특징적인 심전도 소견만으로도 진단이 가능합니다. 부정맥을 유발하는지를 보기 위하여 운동부하 검사를 하는 경우도 있습니다. 심전기 생리 검사는 부정맥이 동반되어 있는지에 대한 확진이 필요할 때 또는 전극도자절제술을 통한 치료를 고려할 때 시행합니다.  ,"WPW 증후군은 증상이 없다면 특별한 치료가 필요하지 않습니다. 증상이 있어서 치료가 필요한 경우에는 전극도자절제술로 부전도로를 절제해 줍니다.  전극도자절제술은 대퇴정맥 등의 혈관을 통해서 전극이 부착된 카테터들을 심장 안에 위치시키고, 이를 통해 부정맥의 진단과 기전을 알아낸 다음 부정맥의 발생과 유지에 중요한 부위를 제거하는 방법입니다. 해당 부위 제거는 고주파 전류를 이용한 절제술(radiofrequency ablation)이나 액체 질소를 이용한 냉각 제거술(cryoablation) 등이 임상에서 시행됩니다. 전극도자절제술을 원치 않거나 할 수 없는 환자, 성공적인 절제술에 실패한 환자는 항부정맥제를 이용한 약물 치료를 합니다.",
XXX 증후군(XXX syndrome),"XXX 증후군은 X 염색체가 3개 존재하는 성염색체 이상 질환입니다. 표현형은 여성입니다. 출생 빈도는 여아 1,200명당 1명으로, 이는 가장 흔하게 나타나는 염색체 이상 질환 중 하나입니다. ","XXX 증후군은 47,XXX 핵형을 가집니다. 추가된 X 염색체의 90% 이상이 어머니로부터 유래합니다. 어머니의 생식 세포 감수 분열 시 X 염색체의 비분리 현상이 그 원인입니다. 산모의 연령이 증가할수록 XXX 핵형의 빈도가 높아집니다. 모자이크형인 45,X/47,XXX, 46,XX/47,XXX 핵형이 있는 경우도 있습니다.","XXX 증후군은 세포유전학적 검사(말초혈액 염색체 검사)를 통해 47,XXX 핵형을 확인하여 진단할 수 있습니다.",,"의학유전학센터, 의학유전학과"
XYY 증후군(XYY syndrome),"XYY 증후군이란 남성에게 존재하는 성염색체인 Y 염색체가 한 개 더 추가된 성염색체 이상 질환입니다. 표현형은 남자이며, 키가 큰 것 이외의 외형적 특징은 없습니다. 임상 증상도 거의 없습니다. 출생 빈도는 남아 1,000명당 1명으로서 가장 흔한 염색체 이상 질환 중 하나입니다. ","XYY 증후군의 핵형은 47,XYY이며, 아버지의 생식 세포 감수 분열 시 Y 염색체의 비분리 현상이 그 원인입니다. 이 경우는 부모의 연령과 관계가 없습니다. 모자이크형인 46,XY/47,XYY 핵형이 있을 수도 있습니다.","XYY 증후군은 세포유전학적 검사(말초혈액 염색체 검사)에서 47,XYY 핵형을 확인하여 진단할 수 있습니다.",,"의학유전학센터, 의학유전학과"
가부키 증후군(Kabuki Syndrome),"가부키 증후군(Kabuki syndrome)은 KMT2D 유전자의 돌연변이로 인해 특징적인 얼굴(아치형의 넓은 눈썹, 낮은 코끝, 컵 모양의 큰 귓바퀴, 아래 외측 안검의 외전), 골격계 기형, 성장 결핍증, 지적 장애 등이 나타나는 유전 질환입니다. 선천성 심장 기형, 비뇨생식기 기형, 구개구순열, 항문폐쇄증 등의 위장관 기형, 안검하수와 사시 등의 증상이 동반되기도 합니다. 가부키 증후군 환아에게는 감염, 면역 질환, 경련이 나타나며, 특히 여아일 경우 조기 가슴 발육 등 내분비 이상, 수유 문제, 청력 손실 등의 증상이 나타날 수 있습니다.    가부키 증후군은 임상 증상을 기초로 진단하고, 분자 유전학 검사로 확진합니다. 빈번한 식도 역류를 예방하기 위해 유동 식이로 수유하거나 수유 후에 체위를 변경하는 것이 중요합니다. 심각한 수유 장애가 있다면 비위관 삽입을 고려할 수 있습니다. 인지 장애, 자폐증과 같은 행동학적 문제가 있다면 소아정신과 전문의에게 진료받아야 합니다. 경련 증상이 나타나면 적절한 항경련제 투약을 고려해야 합니다. 1년마다 정기적으로 진료하여 신장, 몸무게, 머리둘레, 발달 상태, 청각과 시각 상태를 확인하는 것이 중요합니다.  부모에게 KMT2D 유전자 돌연변이가 있다면 자식에게 유전될 확률은 50%입니다. 가족력이 있는 경우 산전 검사를 할 수 있으며, 반드시 유전학과 전문의와 상담해야 합니다.","가부키 증후군의 약 70%는 12번 염색체의 장완(13q13.12)에 위치한 KMT2D 유전자의 돌연변이로 발병하며, 상염색체 우성 유전입니다. KMT2D 유전자는 신체의 여러 장기 및 조직의 단백질을 구성합니다. KMT2D 단백질은 히스톤 메틸전달효소(histone methyltransferase)로 기능합니다.  히스톤 메틸전달효소(histone methyltransferase)는 특정 유전자의 활성화를 조절하여 정상적으로 기능하게 합니다. 이러한 KMT2D 유전자의 돌연변이는 KMT2D 단백질의 정상적인 기능을 방해합니다. 비정상적인 KMT2D 단백질로 인해 히스톤 메틸화(histone methylation) 역할이 억제되고, 신체 장기와 조직의 특정 유전자가 정상적으로 활성화되지 못합니다. 결과적으로 가부키 증후군의 특징적인 외형과 기능 장애가 나타납니다.","- 신장, 체중, 머리둘레를 측정하여 표준 성장 곡선과 비교 분석합니다. 성장 저하가 있는 아이들은 갑상선 기능 저하증, 성장 호르몬 결핍증 등 호르몬 결핍을 평가해야 합니다. - 수유 문제가 심각하거나 성장이 부진하면 식도 내 산도 검사를 고려해야 합니다. 구강 내 빨기 및 삼키기 구조가 정상인지 확인하기 위해 바륨 삼킴 검사가 도움이 됩니다.- 발달이 지연되는 경우 영유아 발달 검사를 통한 발달 평가가 필요합니다.- 근력 저하가 나타나는 경우 물리치료 평가가 필요합니다.- 경련 의심 증상이 나타나는 경우 신경학적 평가가 필요합니다.- 두통, 시력장애, 이비인후과적 신경장애, 소뇌 운동 실조증, 경련, 발작 증상이 있는 경우 뇌 기형 질환인 키아리 증후군을 감별하기 위해 뇌 검사가 필요합니다.- 심장 기형의 발생률이 높으므로 가부키 증후군을 진단받는 즉시 심장 초음파 검사를 시행해야 합니다. 심장 기형이 발견되면 심장전문의에게 진료받아야 합니다.- 안과적 문제가 자주 발생하므로 안과 검사가 필요합니다.- 구순, 구개열, 점막하 구개열, 혹은 비인강폐쇄가능부전을 의심할 수 있으므로 이비인후과 평가가 필요합니다.- 위장관 기형의 문제가 나타날 수 있으므로 관련 평가가 필요합니다. 영유아기에 담즙정체증이 의심되면 즉시 검사해야 합니다.- 신장/요로 기형이 자주 발생하므로 가부키 증후군을 진단받는 즉시 신장 초음파 검사를 시행해야 합니다. 수신증이 의심되면 신장학과 전문의에게 진료받아야 합니다. 잠복고환이 의심되면 비뇨의학과 전문의에게 진료받아야 합니다.- 선천성 고관절 탈구 및 기타 탈구가 의심되면 정형외과 의사에게 진료받아야 합니다.- 가부키 증후군을 진단받는 즉시 척추 검사를 시행해야 합니다. 척추측만증 및 기타 척추 이상이 발견되면 정형외과 전문의에게 진료받아야 합니다.- 가부키 증후군이 있는 1세의 아이는 T세포 수와 혈청 면역 글루불린 수치를 확인해야 합니다. 만약 T세포의 수치가 비정상이거나 최근 감염 질환을 겪었다면 면역학 전문의에게 진료받아야 합니다.- 의학유전학 전문의의 상담이 필요합니다.",- 위역류 증상을 예방하기 위해 유동식 수유 및 수유 후 적절한 체위 변경이 필요합니다.- 빨기 및 삼키기 장애 등 심각한 수유 장애가 있으면 비위관 삽입을 고려해야 합니다.- 자폐증은 향후 교육적 중재에 영향을 미칠 수 있으므로 의심 증상이 나타나면 소아과 전문의나 소아정신건강의학과 전문의에게 진료받아야 합니다.- 경련 증상을 치료하기 위해 항간질 투약을 고려할 수 있습니다.- 청력 손실이 나타나면 이비인후과 전문의에게 진료받아야 합니다. 또한 내이 기형을 감별하기 위한 검사도 필요합니다.- 원인 불명의 머리 및 목 통증이 지속되거나 두개골 기형이 있는 경우 키아리 증후군을 이차적으로 동반할 수 있으므로 뇌 검사를 고려할 수 있습니다.- 보호자는 아이가 수면 중에 눈을 제대로 감지 못하는 야행성 토안이 있는지 관찰해야 합니다. 이러한 증상이 나타나면 안과 전문의에게 진료받아야 합니다.- 심각한 부정 교합이나 치아 발육 부전증이 나타나면 치과 교정술을 고려해야 합니다.,의학유전학센터
가성근시(Pseudomyopia),"가성근시는 수정체가 두꺼워진 상태에서 눈을 조절하는 모양체 근육이 수축하여 먼 곳이 잘 보이지 않는 것을 의미합니다. 주로 과도한 근접 작업을 지속할 때 나타납니다. 그러나 이는 일시적인 증상으로, 모양체 근육을 이완시켜주면 근시가 해소됩니다. 이 때문에 '가성근시'라고 합니다. ",가성근시는 초등학교 고학년 학생과 중학생에게서 많이 나타납니다. 주로 독서와 필기 등의 근접 작업을 장시간 지속할 때 나타납니다. 눈의 수정체가 두꺼워지고 모양체 근육에 경련이 일어나 먼 곳을 보아도 근육이 풀리지 않아 근시 상태가 됩니다.,가성근시는 진성근시와 마찬가지로 굴절력에 실제로 이상을 일으킵니다. 상이 정상보다 망막 앞쪽에 맺히기 때문에 일반 굴절 검사로는 가려낼 수 없습니다. 가성근시를 정확하게 판별하려면 수축된 모양근을 이완하는 조절마비제를 넣은 후 굴절력을 검사해야 합니다.,가성근시를 치료하기 위하여 아트로핀 점안액을 사용합니다. 이 점안액은 취침 전에 사용해야 합니다. 아침이나 낮에 사용하면 동공이 확대되고 조절 기능이 감소하여 시야가 흐려지고 눈이 부시어 활동이 어려울 수 있기 때문입니다.,"안과, 소아안과"
가스 괴저(Gas gangrene),가스 괴저는 클로스트리다(Clostridial perfringens) 균에 감염되어 유해한 독소와 가스가 만들어지면서 근육이 괴사되고 전신 증상이 발현되는 중증 질환입니다.,"가스 괴저는 주로 압궤 손상, 심한 화상, 동상 등의 외상이나 감염된 상처에 클로스트리다 균이 침입하면서 발생합니다. 이 세균은 상처 부위에 바로 감염될 수 있고, 혈액을 따라 몸 전체로 퍼질 수도 있습니다. 당뇨, 말초혈관질환, 알코올 중독자, 약물 남용자, 혈액종양암, 소화기암 환자에게서 더 흔하게 발생합니다.","환자의 병력 및 신체 검진, 혈액 검사(백혈구 상승), 감염된 상처의 균 배양 검사로 진단할 수 있습니다. X-ray, CT, MRI 검사를 통해 가스의 존재 유무, 양, 손상된 정도 등을 알 수 있습니다.","가스 괴저에 감염되면 독소가 혈류를 따라 빠르게 퍼져 주요 장기에 손상을 미치므로 빠른 진단과 적극적인 치료가 필요합니다. 감염되어 괴사된 부위는 즉시 제거하여 주변 조직으로 감염이 퍼지는 것을 예방해야 하며, 항생제를 투여해야 합니다. 또한 고압의 산소를 투여하여 균을 사멸시키고 상처 치유를 돕기도 합니다. 괴사 조직 제거와 항생제 투여로도 감염 조절이 안 되면 그 부위를 절단할 수 있습니다.","감염내과, 응급의학과, 정형외과"
가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury),"2011년 겨울에서 봄에 이르는 기간에 기저 질환이 없었던 젊은 여성을 중심으로 과거에 경험한 적 없는 치명적인 폐 질환이 발생하였습니다. 감기처럼 시작하지만, 기도를 중심으로 생긴 염증이 급속히 폐로 퍼지면서 폐가 단단해지는 폐 섬유화를 거쳐 호흡이 불가능해지고, 결국 사망까지 이르는 치명적인 질환입니다.  2011년 4월, 원인도 모른 채 폐 섬유화가 급속하게 진행되는 입원 환자가 보고된 후 질병관리본부에서 총 28건의 동일한 사례를 확인했습니다. 여기에 질병관리본부 홈페이지에 직접 신고된 사례 중 원인 불명 폐 질환으로 확인된 3건의 사례를 더하여 총 31건의 사례가 확인되었습니다.  ","2011년 1월~6월 사이 동일한 질병을 겪었던 것으로 의심되는 환자들은 대부분 20대 후반~30대 중반의 여성이었으며, 이 중 10명이 주산기 산모였습니다. 이 환자들 중 4명의 경우 자녀가 동일한 질환으로 소아과에서 치료하고 있었고, 1명의 경우 일가족 3명이 동일한 질환으로 진단받은 상황이었습니다.  환자들이 재택 시간이 많은 주산기 여성이었다는 점, 가족 중에서 재택 생활자인 영유아들과 함께 집단 발생한 사례가 있었다는 점, 겨울에 집중적으로 발병한 점 등으로 미루어 겨울철과 연관된 가정 내 환경 요인이 원인이라고 추측하였습니다. 환자들의 거주지, 직업력, 약물 복용력에는 특기할 점이 없었으나, 병력 청취가 확인된 환자들이 공통적으로 겨울철에 가습기 및 가습기 세정제를 사용했다는 사실이 확인되었습니다.  신종 폐 질환의 원인으로 의심된 가습기 살균제를 동물에게 실험한 결과, 신종 폐 질환으로 사망한 출산 전후의 산모들에게 나타났던 것과 아주 유사한 폐 섬유화와 호흡곤란 증세가 확인되었습니다. 이 실험을 근거로 해당 가습기 살균제는 강제 수거되었습니다.","흉부 방사선 촬영이나 흉부 CT, 폐조직 검사를 통해 폐 질환을 진단할 수 있습니다.  ","우선 원인 물질을 격리해야 하며, 필수적으로 금연해야 합니다. 호흡 곤란을 완화하기 위해 산소를 공급합니다. 호흡부전이 심해지면 기도 삽관을 통한 기계환기 치료를 시행할 수 있습니다.   폐의 염증을 완화하기 위해 스테로이드와 항생제, 항바이러스제, 면역 억제제 등의 약물을 투여합니다. 폐 섬유화가 심해 정상적인 호흡이 불가능한 경우 폐 이식을 시도할 수 있습니다. ",호흡기내과
가와사키병(Kawasaki Disease),"가와사키병은 영아와 소아에게서 발생하는 급성 혈관염입니다. 대부분 5세 이하의 소아에게서 발생하지만, 어른에게서 발생했다는 보고도 있습니다. 봄, 겨울에 높은 발생률을 보이고, 2~4년 주기로 유행합니다. ","가와사키병의 원인은 아직 밝혀지지 않았습니다. 다만 의학자들은 이 병이 유전적인 요인 때문에 발생한다고 추측하며, 세균이나 바이러스에 감염되었을 때 비정상적인 면역 반응이 일어나면서 이 병으로 발전된다는 견해도 있습니다. 이 병의 증상은 환자의 유전이나 환경에 따라 다르게 나타납니다. 어떤 아이는 아무런 이유 없이 보채기만 합니다.  ① 위험 인자- 30일 이내 호흡기 질환- 30일 이내 러그 세탁(집먼지 진드기 및 다른 미생물로 인해 전파될 가능성)- 절지동물 매개체나 동물 숙주가 서식하는 곳 인근의 거주자  ② 이론- 급성기 동안 면역계가 활성화되고, 혈관내피세포에 대한 항체가 형성됩니다. - 임상 소견과 검사실 검사는 세균 독소에 의한 질병과 유사합니다. 이에 따라 미상의 세균에 의한 독소론 때문에 발병한다는 견해가 대두되고 있습니다.","① 진단 기준5일간 지속되는 발열(또는 5일 이상 다른 설명 불가능한 발열)과 동반하여 다음의 5가지 중 4가지 이상의 증상이 나타나면 진단합니다. (관상동맥류가 있으면 4가지 증상만 있더라도 진단합니다.) - 삼출물 없는 양측 결막 충혈- 1가지 이상의 점막 변화 : 입술의 홍조 및 균열, 구강 점막의 미만성 발적, 딸기 모양의 혀(injected or fissured lips, injected pharynx, or “strawberry” tongue)- 1가지 이상의 사지 말단 변화 : 급성기 수족의 경성 부종, 손바닥, 발바닥의 홍반, 회복기에 손가락 끝의 막양 낙설(erythema of palms or soles, edema of the hands or feet, or generalized or periungual desquamation)- 발진- 경부 림프절병증(>1.5cm)   ② 진단 방법- 모든 의심 환자에게 심전도와 심초음파를 시행합니다. 지속적인 초음파 이상 및 허혈 징후가 나타나면 관상동맥 조영술을 시행합니다.- 전혈구 계산, CRP, ESR, 간 기능 검사, 뇨 검사, 혈액 배양, 흉부방사선 검사 등을 시행합니다.- 감별 진단을 위해 antistreptolysin-O titer, throat culture for group A streptococcus(GAS)를 시행합니다.- 뇌수막염이 의심되거나 상세 불명의 고열이 나타나면 뇌척수액을 검사합니다.- 편광현미경 검사를 통해 포도막염을 검사합니다.","급성기에는 고용량 면역글로불린과 아스피린을 사용합니다. 고용량 면역글로불린의 약리적인 기전은 명확하지 않지만, cytokine에 의해 혈관 내피의 증식을 억제하고 전신적인 항염증 작용을 하는 것으로 추정됩니다. 발열 시작 10일 이내에 썼을 때 관상동맥 합병증을 억제합니다. 이에 따라 아스피린 단독 요법을 쓸 때의 관상동맥 이환율 20~25%를 약 2~4%로 감소시키는 효과를 보입니다. 예전에는 스테로이드를 항염제로 사용하면 오히려 관상동맥 합병증을 증가시킨다고 하여 적절하지 않은 치료로 간주하였으나, 최근에는 좋은 효과가 나타난 보고가 있어 향후 임상 연구가 더 필요한 상황입니다.  발병 후 1~2주에는 반드시 심초음파 검사를 시행하여 관상동맥 상태를 파악해야 합니다. 관상동맥 합병증이 없는 경우 아급성기에 접어듭니다. 이때 항혈소판 효과를 기대하여 저용량 아스피린을 6~8주 투여합니다. 관상동맥 합병증이 없는 경우는 예후가 좋으므로 1년 이후에는 엄격한 추적 관찰을 권장하지 않습니다. 그러나 중등도 이상으로 관상동맥의 변화가 있는 환자(5mm 이상의 관상동맥류)는 심초음파 검사, 심전도, 운동부하검사, Thallium 심근 스캔 또는 SPECT 검사를 통해 매년 심근 허혈 유무를 정기적으로 추적해야 하며, 경우에 따라서는 관혈적인 관상동맥 조형술을 시행하여 관상동맥 협착 또는 폐쇄를 진단해야 합니다.  관상동맥류의 약 50%는 수년에 걸쳐 정상 내경으로 회복된다고 합니다. 그러나 이런 경우에는 혈관 벽이 두터워져 있고 혈관 내벽이 증식되고 섬유화되어 있으므로, 이러한 해부학적, 생리학적 변화의 장기적인 예후는 아직 알지 못합니다. 관상동맥류가 지속되는 경우에는 장기적인 저용량 아스피린 요법 또는 항응고요법이 필요합니다. 관상동맥 협착 또는 폐쇄에 의한 허혈 소견이 있을 때는 심근 산소 소비를 줄이기 위해 칼슘 통로 차단제를 투여하며, 경피적 관상동맥 성형술이나 외과적 관상동맥 우회술을 고려합니다.",어린이병원
