파일명,유사도(%),음성 인식 텍스트,정답 텍스트
PA_0002-361-01-03-M-07-A.wav,95.45,아무도 없는데 자꾸 누군가와 대화를 해요,아무도없는데 자꾸 누군가와 대화를 해요.
PA_0002-362-01-03-M-07-A.wav,84.0,밤새 배 아프다고 지적 거리면 잠을 못 잤어요,밤새 배 아프다고 뒤척거리며 잠을 못 잤어요.
PA_0002-363-01-03-M-07-A.wav,97.87,성기 부분이 약간 간지럽고 수포가 잡혔어요,성기 부분이 약간 간지럽고 수포가 잡혔어요.
PA_0002-364-01-03-M-07-A.wav,90.57,거의 할 뻔 했는데 그럴 때마다 제가 참습니다,"거의 할 뻔했는데, 그럴 때마다 제가 참습니다."
PA_0002-365-01-03-M-07-A.wav,85.71,왼쪽요,왼쪽요.
PA_0002-366-01-03-M-07-A.wav,77.78,계속 우울해요,요즘 계속 우울해요.
PA_0002-367-01-03-M-07-A.wav,11.76,[음성 인식 실패: 이해할 수 없는 음성],다리가 저릿저릿해요.
PA_0002-368-01-03-M-07-A.wav,96.0,그냥 너무 무거운 거 들거나 자고 일어났을 때 빼고 못 느껴 봤어요,그냥 너무 무거운 거 들거나 자고 일어났을 때 빼고는 못 느껴봤어요.
PA_0002-370-01-03-M-07-A.wav,88.64,스트레스를 잘 받고 풀지 못하는 성격이다 보니 마음에 응어리가 짙은 기운입니다,스트레스를 잘 받고 풀지 못하는 성격이다보니 마음에 응어리가 진 듯한 기분입니다.
PA_0002-371-01-03-M-07-A.wav,93.33,빗물에 휩쓸려서 넘어졌어요,빗물에 휩 쓸려서 넘어졌어요.
PA_0002-372-01-03-M-07-A.wav,97.87,항문에 뭐가 들어갔는데 뭔지 잘 모르겠어요,항문에 뭐가 들어갔는데 뭔지 잘 모르겠어요.
PA_0002-374-01-03-M-07-A.wav,96.3,평소에 어지럼증이 있어요,평소에 어지럼증이 있어요.
PA_0002-375-01-03-M-07-A.wav,97.14,피부가 너무 간지러워서 괴로워요,피부가 너무 간지러워서 괴로워요.
PA_0002-376-01-03-M-07-A.wav,89.58,눈 주변에 몹시 가려고 작은 두드러기가 나고요 눈도 붓고 씻고 나와서는 진물이납니다,"눈 주변이 몹시 가렵고 작은 두드러기가 나구요, 눈도 붓고 씻고 나와서는 진물이 납니다"
PA_0002-377-01-03-M-07-A.wav,80.0,시래기 조금씩 떨어져요,시력이 조금씩 떨어져요.
PA_0002-378-01-03-M-07-A.wav,87.1,다리가 저리고 왼쪽 다리에 힘이 안 들어가서 절뚝거리는,다리가 저리고 왼쪽 다리에 힘이 안들어가서 절뚝 거립니다.
PA_0002-379-01-03-M-07-A.wav,91.43,3일 전부터 열이 나는데 해열제를 먹여도 내렸다 올랐다 해서요,삼 일 전부터 열이 났는데 해열제를 먹여도 내렸다 올랐다 해서요.
PA_0002-380-01-03-M-07-A.wav,98.11,터널 안에 들어가면 차 두고 뛰쳐나가고 싶어져요,터널 안에 들어가면 차 두고 뛰쳐나가고 싶어져요.
PA_0002-381-01-03-M-07-A.wav,96.15,오늘 선생님이 병원 오라고 하셔 가지고 왔습니다,오늘 선생님이 병원 오라고 하셔가지고 왔습니다.
PA_0002-382-01-03-M-07-A.wav,11.43,[음성 인식 실패: 이해할 수 없는 음성],화상을 크게 입어서요.
PA_0002-383-01-03-M-07-A.wav,93.62,공장에서 시멘트 포즈를 들다가 허리를 삐끗했는데 그때부터 허리를 조금만 숙여도 아파요,공장에서 시멘트 포대를 들다가 허리를 삐끗했는데 그때부터 허리를 좀만 숙여도 아파요.
PA_0002-384-01-03-M-07-A.wav,87.5,허한 느낌이 자주 들었어요,위가 허한 느낌이 자주 들었어요.
PA_0002-385-01-03-M-07-A.wav,81.08,발달 속도가 너무 늦을 것 같아요,발달 속도가 너무 더딘 거 같아요.
PA_0002-386-01-03-M-07-A.wav,80.95,판청 나비와 언어 장애 증상이 있어서요,편측마비와 언어 장애 증상이 있어서요.
PA_0002-387-01-03-M-07-A.wav,92.59,실험용 알코올을 물인 줄 알고 마셔도 내원했습니다,실험용 알코올을 물인줄 알고 마셔서 내원했습니다.
PA_0002-388-01-03-M-07-A.wav,95.65,앞니 두 개가 아파요,앞니 두 개가 아파요.
PA_0002-389-01-03-M-07-A.wav,88.37,발톱이 한쪽으로 나면서 통증이 심해져,발톱이 안쪽으로 나면서 통증이 심해져서요.
PA_0002-390-01-03-M-07-A.wav,95.24,그냥 밤이 되는게 무서워요 자야 할 시간이 온다는 게요,그냥 밤이 되는 게 무서워요. 자야 할 시간이 온다는 게요.
PA_0002-392-01-03-M-07-A.wav,92.68,네 맞아요 요즘 좀 소화가 안 됐어요,네. 맞아요 요즘 좀 소화가 안됐어요.
PA_0002-393-01-03-M-07-A.wav,86.15,밥을 못 먹는게 제일 힘들죠 물도 잘못 마시고 기운도 없고,밥을 못 먹는 게 젤힘들죠. 물도 잘 못 마시고 기운도없고.
PA_0002-394-01-03-M-07-A.wav,91.67,네 그냥 쭉 아파서요,네. 그냥 쭉 아파서요.
PA_0002-395-01-03-M-07-A.wav,81.82,짐승한테 공격당했다,짐승한테 공격당했어요.
PA_0002-396-01-03-M-07-A.wav,92.68,오른쪽 무릎이 계속 찌릿하면 아파서요,오른쪽 무릎이 계속 찌릿하며 아파서요.
PA_0002-397-01-03-M-07-A.wav,84.71,허리가 아파서 왔는데 디스크에서 스스로 간단한 입원을 해야 한다고 해서요,"허리가 아파서 왔는데, 디스크여서 수술 후 간단한 입원을 해야 한다고 해서요."
PA_0002-399-01-03-M-07-A.wav,89.66,삶의 의미를 못 느끼겠어요,삶에 의미를 못 느끼겠어요.
PA_0002-400-01-03-M-07-A.wav,97.3,피부 건조가 심하고 착색이 돼서요,피부 건조가 심하고 착색이 돼서요.
