증상,일상말
코르티코바잘 변성,손이랑 발이 자꾸 떨리고 마음대로 안 움직여서 걸핏하면 실수하늘데왜 자꾸 이러지?
섬유근육통,온몸이 쑤시고찌릿찌릿 아파서 하루종일 누워만 있고 싶은데어떻게 좀 안되나?
채찍질 손상,갑자기 목이뻐근하고 아파서 고개 돌리기가너무 힘든데 왜 이러지?
백색증,피부가 너무 하얗고 빛에 약해서 햇빛 받으면 따끔따끔 아픈데이거괜찮은 거양?
식도암,음식삼킬 때 목이 따끔따끔 거리고 막혀서 밥먹기겁나는데 이꺼 왜이래?
쇄골 골절,어깨랑 팔 움직일 때마다 으스스 뚝뚝 소리나고 너무 아파서 못움직이겠어.이거 뭔일이야?
해면상 기형,머리가 지끈지끈 아프고 눈앞에 알록달록한 게 왔다갔다 하는데 이거 왜 이러지?
편도염,"목이따끔따끔하고 음식을 삼킬 때마다너무아파, 이꺼 왜 이래?"
톡소플라스마증,온몸이 찌뿌둥하고 미열에 머리가 띵한데 왜 이러지?
테이-삭스 병,"애가자꾸 힘없어 보이고 손발이 뻣뻣, 간질거리는 것 같아서 걱정돼... 이거 왜잉래?"
포상기태,배가찌릿찌릿한 게 자꾸커지는 것 같고 이상한 분비물 나오는데 이거 큰일난거야?
비정형 증식증,"이거뭐지, 겨드랑이랑 목 쪽에 몽글몽글한게 자꾸 커지는 것 같아서 찝찝한데괜찮은거야?"
뇌진탕,"머리가 띵~하고 어질어질한데, 속도 울렁거리고 아프고왜 이러지...?"
성홍열,"몸이 벌게지고 열이 펄펄 끓는데 목도 따끔따끔하네,뭐지이거?"
악성 고열증,몸에서 열이 펄펄 나고 땀이 줄줄 흐르는데 이거 그냥 감기 아냐?
승모판 역류,숨이 헉헉 차고 가슴이 두근두근뛰는데 왜 이렇게 힘들지?
체부 백선,"몸 여기저기 간지럽고 빨갛게 뭐 나는데, 긁으면허옇게벗겨지고 더 심해지는 느낌이야. 이거뭐지?"
섬유선종,가슴에몽울몽울한덩어리가 만져지는데 만지면 좀 따끔따끔 아프기도 하고 이게 뭐지?
남성 불임,"요즘 왜 이렇게 피곤하고, 정작 중요한그 순간에는 기운이 없네, 괜찮은 거겠지?"
자발성 관상동맥 박리,가슴이 쿡쿡 찌르는듯어픈데 숨쉬기도힘들고왜이래 진짜?
골절된 발목,"발목이 욱신거리고붓고 막 걸을 때마다 찌릿찌릿 아픈데, 이거진짜 괜찮은거야?"
저혈압,아침마따 어질어질하니깐 일어라기가힘들어; 뭐가 문젤까?
요도하열,소변 볼때 따끔따끔 아프고 자꾸 찔끔찔끔 새늘거 왜이래진짜?
브루가다 증후군,갑자기 심장이 두근두근 더 빨리 뛰고 숨이 가빠지는데 이거 왜 이러지?
직장질루,배가 살살아픈데 갑자기 꾸룩꾸룩 소리 나면서 화장실 가야 될 것같아. 왜 이러지?
거미 물림,가려워서 긁었더니 부어오르고 울퉁불퉁해졌어. 이거왜 이러지?
화상,피부가 빨갛고 따갑고 물집도 잡히고 열이 부글부글 나는데 이거 아쩌지?
재생불량성 빈혈,"몸이 축 쳐지고 어지럽고, 멍까지 잘 드는데 왜 이러지 요즘?"
만성 신장 질환,"몸이 자꾸 붓고 피곤에 찌든 느낌인데, 대체 왜 이러지?"
프래더-윌리 증후군,항상배고프고 아무리 먹어도 더 먹고 싶은데 나 왜이래...?
지방육종,배에 뭔가 단단한게 만져지고점점 커지는 느낌인데 이거 위험한거 어냐?
조현성 인격장애,"사람들이 자꾸수근대는거 같고, 신경 쓰여서 잠도 안오고 머릿속이 복잡해... 나왜이래?"
구루병,다리가휘청휘청 약하고힘이 없어서 걷기 힘든데 왜잉러지?
고관절 골절,움직일 때마다 엉덩이쪽이 찌릿찌릿아프고 다리가 말을안 듣는데이거 큰일난 거 아냐?
모낭염,머리에 뭐가오돌토돌 나더니 따끔따끔 아파서 샴푸할때마다 너무 예민하게 느껴지는데 이거 괜찮은거야?
망막 박리,눈앞이 번쩍번쩍 하다가 갑자기 뭔가 가려진 것처럼 안 보여서 걱정돼...이거 왜 이래?
검버섯,피부가 거칠거칠하고까맣게 변하는게 점점 늘어나는꺼 같아서고민이야.왜 이러지?
여성 성기능 장애,용즘은왜 이렇께 흥미가뚝 떨어지고 분위기도안 잡히지?
전염성 연속종,간지럽고오돌토돌 뾰루지 같은 게 막 올라오는데긁으면 더 퍼지늘 거 맞지?
급성 골수성 백혈병,몸이 축축 처지고 멍도 잘 들고 코피가 자주 나는데 왜이래ㅠ
부비동 두통,얼굴이랑 머리가 꽉 조이는 것처럼 아프고 눈 주위까지욱신욱신한데 이거 어쩌지?
소장암,배가꾸룩꾸룩아프고 자꾸 체하는데 대체 왜 잉래?
코골이,밤마다 쿨럭쿨럭숨 넘어가는 소리 나는데 옆애서 자는 사람 괴로운거알긴해...?
유방암,가슴에 뭐가 만져지는데 자꾸뻐근하고 찌릿찌릿한 께 불안해. 왜 이러지?
히스토플라스마증,기침이랑 쿨럭쿨럭하면서 가슴이 쑤시는느낌인데이거 왜 이래?
수막염,머리가 깨질 듯이 아프고 열도 펄펄나고 목도뻣뻣한데 이거 심각한 거 아냐?
특발성 혈소판감소성 자반증,"몸에멍이랑 반점이 자꾸 생기고 피도 잘 안 멈추는데 이거 뭐야, 나 왜 이러지?"
지루성 각화증,피부가거칠거칠하고 각질이 우수수 떨어지는데 이거 왜 이래?
시겔라,배가 꾸르르아프고 설사까지 하늘데 나 왜 이러지?
치은염,잇몸이 붓고 욱신욱신 아픈데 양치할 때 피도 나고 왜 이래?
정계정맥류,다리가 묵직하고 쑤셔서 오래 서있질 못하겠어. 이거왜 그럴까?
입 마름증,"입잉 바삭바삭하고 자꾸 마르는데 물을 아무리 마셔도소용이 없네, 왜 이러지?"
경계성 인격 장애,"기분이 롤러코스터처럼 오락가락하고, 사람들하고 갑자기 왜 이렇게 확 틀어져 버리는 걸까?"
유방 파제트병,"가슴 쪽이 따끔따끔하고 간지러운데뭔가 딱딱해진 느낌도 들어, 이거 뭐야?"
헌팅턴병,"몸잉 막 내 맘대로 안움직이고, 손발이 덜덜 떨리는데 이거왜 이러지? 큰일아닌가..."
척추관 협착증,허리가 뻐근하고 다리가 저릿저릿한데오래 걷질 못하겠어. 어떡하지?
폐섬유증,숨쉴때마다 쌕쌕 거리고 숨이 턱 막히는데라 왜 이래?
중족골통,"발바닥이 찌릿찌릿 아프고걸을 때마다 콕콕 쑤시는데,이거 왜이래?"
대장 폴립,"배가 꾸룩꾸룩 아프고 뭔가 뒤틀리는 것 같은데, 이거 왜이래?"
생식기 사마귀,아래가 따끔따끔하고 울퉁불퉁 뭐가생겼는데 이거 왜 이러지?
유선관 확장증,가슴이 자꾸 찌릿찌릿하고멍울 같은 게 느껴져서 찝찝한데이거 왜 이럴까?
눈의 피로,"눈이 침침하고뻑뻑해서 자꾸 깜빡거리게 되네, 이거 왜 이래?"
호산구성 식도염,음식삼킬 때마다 따끔따끔하고 목에 뭐 걸린 것처럼불편한데 이거 왜 이러지?
당뇨병성 저혈당증,갑자기 땀 삐질삐질 나고막 손도 덜덜 떨리는데 이거뭐지...?
조루증,왜 이렇게금방 끝나버리는거야? 맘처럼 안 되네.
신경내분비 종양,배가 묘하게꾸룩꾸룩 아픈데 왜 자꾸 체한것 처럼 더불편해지는 거지?
복잡성 애도,"이 사람생각만 하면 마음이 답답하고 눈물이 핑 도늘데,나왜잉러는걸까?"
입스,노래 부를 때 목이꽉 막힌 느낌 나늘데 왜 이렇게 목소리가 안나오지?
설사,배가꾸르륵거리다가 갑자기 쏴아악 내려가는데 이거뭐 잘못 먹은건가?
간질,온몸이간질간질하고 자꾸 움찔움찔거리는 게 좀 불안한데 왜 이러지?
왜소증,"사람들사이에 있으면 괜히 위축되고, 자꾸만 눈높이가 달라서좀 신경쓰여."
파상풍,입이 자꾸 딱딱거리고 온몸이 쑤셔서 움직일 때마다 찌릿찌릿한 게 이거 좀 심각한꺼아냐?
지루성 피부염,"피부가 간지러운데 기름지게 번들번들하고 껍질도 막 벗겨져, 어떡하지?"
후각신경아세포종,냄새가 안 맡아지고 머리가 어질어질 아픈데 이거 왜 이러냐...?
손목 통증,손목이 찌릿찌릿 아프고 물건 잡기도 힘든데뭐가잘못된꺼지?
평발,발바닥이 자꾸쑥쑥 눌리고 오래 걸으면 종아리가 뻐근하게 아파ㅡ왜 이러지?
간폐 증후군,가슴이 꽉 막힌 것처럼 답답하고 숨이헉헉 차는데잉거 어떡하냐?
사스,열이 펄펄 나고 숨쉬기 힘들고 온몸이 쑤시는데 이거 왜이래ㅠㅠ?
루미네이션 증후군,먹은 게 자꾸 도로 올라오고넘기기도 좀 그래서 찝찝하고 불편한데 왜 잉러지?
섭식 장애,뭔가 먹고나면 자꾸 꾸역꾸역 토할것 같고 입맛도 싹 없어져서 어쩌지ㅠ
철결핍성 빈혈,"어지럽고 후두루들 힘이 없어서 계단 오르는데 다리가 휘청거리네, 이거 뭐야?"
일산화탄소 중독,"머리가 멍하고 어지럽고,속이메스꺼운데 왜 이러지...?"
일차성 측삭 경화증,몸이자꾸 힘이 빠지고 말도어눌해지는데... 다리가 저릿저릿한 게 무슨 일인거야?
공황 발작,가슴잉두근두근하고 숨이 턱 끝까지 차오르는데 왜이러지 나 미쳤나?
하지불안증후군,다리가 자꾸 꿈틀거리고 저릿저릿 꺼려서 밤에 잠을 못자겠어 누구 알러?
괴저,"발가락이 시커멓게 변하고지끈지끈 아픈데, 괜찮은꺼겠지?"
길랑-바레 증후군,다리가갑자기 힘잉하나도 없고 저릿저릿한데 왜 이러지?
메르켈 세포 암종,피부가갑자기툭튀어나오고 만지면 아픈데 이게 뭐지? 겁나서미치겠네...
직업성 천식,숨 쉴 때 쌕쌕거리고 기침도 쿨럭쿨럭 나는데 일할 때마다 더 심해져서 미치겠어.
난소 낭종,배에 뭔가 묵직하고꽉찬 느낌인데 가끔 쿡쿡 쑤시기도 하고.. 이거 왜 이래?
샤가스병,몸이 축 처지고 피곤한데 여기저기욱신거리고붓기도하고... 왜이러지?
혈관염,"여기저기 팅팅 붓고, 욱신욱신 아파서 걷기도힘든데 뭐야 이거?"
아킬레스건염,발꿈치 뒷쪽이 욱신욱신 아프고걸을 때마다찌릿한데.. 이거왜 이러지?
선모충증,근육이 쑤시고 아파서 몸을 못움직이겠고눈 주변도 퉁퉁 부었는데 왜이러냐 진짜?
조기 심실 수축,심장이 갑자기두근두근 뛰고 덜컹거려서깜짝 놀랐어. 이꺼 무슨 일이지?
셀룰라이트,"허벅지랑 엉덩이쪽 이상하게 울퉁불퉁, 쭈글쭈글해 보여서 민망한데 이거 왜 잉래?"
노로바이러스,배에서 꾸르륵 소리 나고 토할거 같고갑자기 화장실 왔다갔다 하는데 나 왜 잉러지?
재발성 유방암,가슴에 다시 뭐가 잡히고 욱신거리는거 같은데 이거 또그런거야...?
심잡음,"가슴에서 쿵덕쿵덕 소리 이상하게 들리는데, 이거 걱정해야 되는 거야?"
미세 대장염,배가 꾸룩꾸룩 뭔가 안 좋고 화장실 들락거리는 건 나만 그런가?
촌충증,배가 빵빵하고꾸룩꾸룩 거리는 데갑자기 살도 빠지는 거 같아서 이거 뭐야?
불안 장애,"가슴잉 두근두근떨리고, 손이 땀에 젖고, 자꾸불안한데 이거 괜찮은거겠지?"
류머티즘 관절염,아침마다 손가락이 뻣뻣해서 주먹 쥐기도힘들고 욱신욱신 아픈데 뭐가 문제양 이거?
편평세포암,딱딱하게 뭔가 만져지고 자꾸따끔따끔 아픈데 병원 가봐야 돼?
성장판 골절,무릎잉욱신욱신 아프고 잘안 구부러져서걷기도 힘든데 뭐가 문젠거야?
혈우병,"조금만 다쳐도 피가주르륵 멈추질않아서 깜짝 놀랐어, 이거 왜 이래?"
대장암,"배가 꾸룩꾸룩아프고 화장실 가도 속잉 더부룩한데, 이거 왜 이래?"
원추각막증,눈이 아릿아릿하고 흐릿하게보여서 뭘 봐도 자꾸 찡그리게 되는데...왜 이렇게 되는 걸까?
급성 이완성 척수염,온몸이 갑자기 힘이쭉 빠지고 저릿저릿 이상해… 이거 왜이래?
척추후만증,허리가 구부정하게 굽고 뻣뻣해서 자세가 자꾸 안 펴지는데 이거괜찮은거야?
혈소판증가증,"몸이 막 멍들고 쿡쿡 쑤시는데, 피가 잘안 멈추고 이거 뭐지?"
음경 지속 발기증,계속 뻣뻣한 채로 안 가라앉는데 이거왜 이래...?
지카 바이러스,온몸이 나른라른 하고 미열애 약간 오들오들 추운 느낌인데 이거뭐야?
계절성 정서 장애,요즘 계속 축축 쳐지고 만사가 귀찮아...해도해도 기운이 없네ㅠ 이거 뭐 어쩌라는거야?
피부근염,팔이랑 다리가 힘없고 붓고 욱신거려서 걷기도 힘든데 왜 그런거지?
난독증,글자가막춤춰서 읽을 수가 없네 이게 뭐지?
페니실린 알레르기,몸에두드러기 가려운데 간질간질하고 숨이 쌕쌕 막히는 느낌인데 이거 심각한 거 아니야?
애완동물 알레르기,"집에만 오면 눈이 간질간질하고 재채기 나는데, 이거 혹시 털 때문인 거야?"
신생아 황달,아가 얼굴잉 노래지고 눈 흰자도 노르스름한데 이거 괜찮은거양?
용혈성 요독 증후군,온몸이붓고 멍든 것처럼 아프고 소변도 찔끔찔끔 나오는 것 같아. 이거 왜 이래?
우유 알레르기,우윳빛 뭐만 먹으면 배가꾸르륵 아프고 얼굴도 간질간질 빨개지는데 이거 왜 이래?
일차 진행성 실어증,사람들이 말하는게 점점 헷갈리고 단어들이 머리속에서 마구 섞여서 답답한데 왜이러지?
정강이 통증,아랫다리가쿡쿡 쑤시고 걷기만하면 찌릿찌릿 아픈데 왜이래ㅠ
천골 함몰,앉을 때마다 엉덩이 쪽이 찌릿찌릿 아픈데 이거 왜 이래?
심부정맥혈전증,"다리가 갑자기 붓고 찌릿찌릿한데,이거 걷기도 힘들어서 큰일이네..."
말단비대증,"요즘 얼굴이 종잇장처럼커진거 같고손발도 퉁퉁 붓고 두꺼워지는 느낌인데, 나만 이런 거야?"
가성통풍,"무릎이 욱신하고 붓고 뜨끈뜨끈한데걷기도 힘든거 있지, 이거 뭐야?"
신증후군,"아침에 얼굴이랑발목이 퉁퉁 붓고, 오줌 색깔이 왜 이리뿌연거야?"
절도광,또 물건을 훔치고 싶은충동이 막 올나오는데 이거 왜자꾸 이러지... 라 큰일난거야?
홍채염,눈이 뻑뻑하고시큰거리는 게 불빛 볼 때마다 찡그리게 되네. 이거왜이러지?
부신암,"배가 묵직하면서도 쿡쿡 아픈데 자꾸살도 빠지고, 이거 큰일난거 아니야?"
심장 부정맥,가끔 심장이 두근두근 불규칙하게 뛰고 숨이 턱 막히는데왜 이러지?
기저귀 발진,"아가 엉덩이가 빨갛게 톡톡 올라오고 따끔따끔해서자꾸울어, 어쩌지?"
폐암,기침잉 쿨럭쿨럭 멈추질 않고 숨쉴때마다 가슴이 답답한데 이거 왜 이러지?
현기증,머리가 빙글빙글 돌고눈앞이 아찔한데 왜이래 잉거?
콜레라,배가 꾸르륵 꾸르륵 거리면서물처럼 쫙쫙 나와.. 이거 왜 이래?
변비,배가 묵직하고 뭔가꽉 막힌 느낌인데 화장실가도 시원찮고 너무 답답해.
멜라노마,점이 이상하게 커지고 색도 짙어지는데 간질간질한느낌까지 드니까 좀 무서워.
심낭삼출,가슴이 답답하고 숨쉴때 쿨럭쿨럭 소리나는데 이거 괜찮은꺼야?
태아 거대증,"아 왜케 배가 터질 것처럼 빵빵하고 무거운거야, 움직이기도 힘든데 애가 너무 큰거 아냐?"
소아 1형 당뇨병,"자꾸목이 타고 화장실가는 게 습관처럼 됐는데, 애가 왜이렇게 피곤해하지?"
단핵구증,"목이 따끔따끔하고 무겁고, 열도 올라서몸이 으슬으슬한데 이거 큰일난 거 아냐?"
전갈 쏘임,쏘인 데가 화끈화끈하면서 욱신거리는데 점점 부어오르는거 잉거 괜찮은거겠지?
울프-파킨슨-화이트 증후군,갑자기 가슴이두근두근막뛰고 어지러운데 나 혼자 괜찮겠지?
심내막염,가슴이 쿨럭쿨럭 답답하고 열도 나는 것 같은데 왜 자꾸 숨이 찬거지?
청신경종양,귀에서삐이 소리가 나고 자꾸 어지럽고 울렁거리는데이거 머야 진짜?
샤르코 마리 투스병,다리가 저릿저릿 한데자꾸 힘이없고 넘어질 거 같아 불안해.
지속성 우울 장애,"하루 종일 마음이 우울하고찌뿌둥한게 도대체 왜그런지 모르겠어, 언제까지 이럴려나..."
골수이형성 증후군,몸이 자꾸 여기저기 멍들고 피곤한데왜 이렇게 힘이없지?
비중격 만곡증,코가 한쪽만 계속 꽉막혀있고 숨쉬기가 넘답답한데 이거 나만이런거야?
여성형 유방증,가슴 주변이 볼록하게 나와서 꼭 뭘 넣은 것 같고 찌릿찌릿 아프기도 한데 이거 정상인거야?
곰팡이 알레르기,"재채기랑 눈잉 간질간질한데 코도 맨날 훌쩍거리고, 이거 어딘가 문제있는 거 맞지?"
엘러스-단로스 증후군,왜 이렇게 여기저기쑤시고 피부는 약해서 금방 멍들고 늘피곤하지?
근육 경련,다리 근육이 막 꽉꽉 쥐아지는 느낌인데너무 아파서 걷기도 힘들어... 왜이러지?
땀띠,"땀나면 간지럽고따끔따끔 거리면서 자꾸 빨개지는데, 이거 왜 이래?"
모튼 신경종,발바닥이 찌릿찌릿하고 발가락 사이가 콕콕쑤셔서걷는 게 너무 불편해ㅠ 왜 이런꺼지?
연구개암,입천장에 뭐가반들반들 만져지고 자꾸 거슬려서 신경쓰여. 이거 뭐야?
승모판 탈출증,가슴잉 쿵쾅쿵쾅 뛰고 가끔 숨이 턱 막히는데 이거 왜 이러지?
열성 경련,"애가갑자기 팔다리가 파르르 떨리고 열도 펄펄 끓는데, 왜이래? 무서워서ㅠㅠ"
폐동맥판 협착증,숨쌕쌕꺼리고 가슴이 답답한데 이거 왜 이래? 큰일인거야?
통풍,발가락이욱신욱신 아프고살짝 스치기만 해도 너무 아파서 걷늘데 고통스러운데 잉거 왜 이래?
부고환염,"아랫배가 욱신욱신 아프고, 거긴왜 이렇게 불편한거야?"
혈소판 감소증,몸에 멍이 쑥쑥 드는데 별로 안 부딪혔거든? 왜이래?
설소대 단축증,"혀가짧어서 말할 때 쩝쩝꺼리고빠르게못움직이는데, 발음이 왜 잉러지?"
포르피린증,"햇볕만 조금 쐬도 살이 벌겋게타오르는 것 같고, 가려운데 왜 이러지?"
셀리악병,빵이나 면 먹고 라면 배가 더부룩하고 꾸룩꾸룩이상한소리 나는데 왜이러지?
폭식증,"밥 먹고 나면 배가 빵빵해질 때까지 계속먹고 싶은데, 그러고 나면 또 나도 모르게막 후회돼."
여행자 설사증,"배가 꾸르르르 소리나고 물처럼 계속 내려오는데, 이거 완전 난리났어."
폐경기,"열이 확오르락내리락하고 땀은 또 왜 이리줄줄나니, 나 이제 어떡하냐?"
세로토닌 증후군,몸이 계속 덜덜 떨리고열 오르고 심장이 두근두근 막 뛰는데 무슨 일인거야?
백반증,피부가 군데군데하얗게 변하고 얼룩덜룩 점점 번져서 걱정되는데 이거뭔일잉야?
다한증,"손이랑 발이 땀으로 미끈미끈 미끄러워서 만지지도 못하겠아, 이꺼 왜 이래?"
진성 적혈구 증가증,"머리가 띵~하고 어지럽고 붉은 얼굴에 화끈화끈 열 나고,이거 위험한 거 아냐?"
치매,이상하게 자꾸 깜빡깜빡하고뭐찾으러 가면 잊어버려. 이거 괜찮은거겠지?
접촉 피부염,무슨 닿기만 하면 빨개지고 간질간질 따끔거려서미치겠네 어떡해?
혼수 상태,엄청 오래 자는것처럼 아무 반응이없고 깨우려고해도 꼼짝도 안 해... 왜 이러는거지?
파열된 비장,왼쪽 배가찌르르하게아프고숨쉬기도 힘든데 왜이러지?
자간전증,"눈앞이 갑자기 아찔하고머리가 지끈지끈 아파서,아지러운데 이거 왜 이럴까?"
전측두엽 치매,"요즘 자꾸 까먹고 같은 얘기 반복하는데, 왜이렇게 멍한 것 같지?"
심막염,아깨랑 등이 쿡쿡 찌르듯이아픈데 숨 쉴 때마다 더심해지면어떡해?
계란 알레르기,얼굴이랑 목이 발개지고 간지러워서 긁었더니 붓고 난리났어. 왜이럼?
캐슬먼병,"목이랑겨드랑이가 붓고 묵직한 게 찌릿찌릿한데, 왜 이렇게 기운도없어? 이거 무슨 일인가 싶어."
인격 장애,"내가 요즘 감정이 롤러코스터 타듯 왔다갔다하고, 사람들 만나면 괜히 불안해지고 예민해지는 것같아. 왜 이렇지?"
다발성 근염,팔이랑 다리가 점점 힘이 없어지고 막 욱신거려서 걸어다니기도 힘든데뭐냐 이거?
망막모세포종,애 눈이 하얗게 반짝반짝 빛나고 시력도 잘안보이는것같아...이거 큰일 아닌가?
루이소체 치매,기억이오락가락하고 헛것도 보이는 거 같은데 이거왜 이래...?
습성 황반변성,시야가 흐릿흐릿하고뭔가 뭉개져 보여서 답답한데 이게 뭐야?
디프테리아,목이 따끔따끔 아프고 숨 쉬기도 빡빡한데 이거 왜 잉래?
부러진 다리,"으악, 다리가욱신욱신 엄청아파서 걷지도 못하겠어. 이거 어떡하지?"
머릿니,"머리가 자꾸 간질간질하고 긁어도 긁어도시원하지가 않네, 이거어떡하지?"
전고혈압,"머리가 띵하고 눈앞이 아찔한데,나 왜이렇게 울렁꺼리지?"
덤핑 증후군,밥 먹고 나면 갑자기 배가 빵빵해지고 어지럽고 막 식은땀 쫙쫙 나는데 이거 뭐야?
척추 종양,허리가 쿡쿡 찌르듯아프고 다리까지 저릿저릿한데 잉거 심각한거아냐?
엄지 관절염,엄지가욱신욱신 붓고 아파서 병뚜껑도 못 따겠어 이거 큰일아닌가?
중증 근무력증,"온몸이힘이 하나도 없고, 팔 다리가 천근만근인데이거 왜이러는거야?"
서혜부 탈장,"아 왜자꾸한쪽 배가 묵직하니 콕콕거리고 뭔가 볼록하게 튀어나온 거 같은데, 이거 뭐야?"
조현정동장애,"머릿속이 꽈악차있는 느낌,생각이 막 엉키고 집중이 안되는데 이거나만 그런가?"
치아 농양,"잇몸이 욱신욱신 붓고, 이가 쿡쿡 쑤셔서 밥 먹기도 힘들어 미치겠어."
가성콜린에스터레이스 결핍증,"온몸이 힘 쭉 빠지고 저릿저릿한데, 이유가 뭐지?"
반월상 연골 파열,무릎이 콕콕 쑤시고 걷기만 해도 어긋난 것처럼 뚝뚝 소리나는 건 왜이래?
터너 증후군,자꾸 키가 안 크고 친구들이랑다르게 발달이느린 거 같애. 왜 그러지?
반사회성 인격장애,"쟤 감정 없는 로봇같고 공감도 못하고 늘 자기 맘대로야,이거 어떡해?"
자궁선근증,"배가 꾸르륵무겁고 찌릿찌릿 아파서 걷기도 힘든데, 이거 왜 이래?"
난소암,"배가 뭔가 묵직하고 계속 불편한데,가끔 콕콕 쑤시기도 하고 큰일아닌가이거?"
운동 두통,운동 조금만 해도 머리가 지끈지끈 너무 아파서 나 운동하면 안되나?
약물 중독,머리가 핑 도는거 같고 가슴이 두근두근한데 이거 무슨일이야?
안구 주사,"눈알이 빨개지고 욱신거리는데 가렵고 자꾸 시려워, 왜 이러지?"
고칼슘혈증,"몸이자꾸 나른하고,목이 바짝바짝 마르는데 이거 왜 이러지?"
크론병,배가 꾸르륵꾸르륵 어프고 화장실을 몇 번을 갔다오는지 모르겠어.왜이러지?
건염,"손목이 찌릿찌릿 아프고 움직일 때마다 뭔가 걸리는 느낌인데, 어떡하지?"
혈관미주신경 실신,"갑자기눈앞이아찔하고팔다리가 후들후들 힘풀리면서식은땀이 주르륵, 왜 이래?"
갑각류 알레르기,새우 먹고 얼굴이 간질간질 부어오르는데 이거 큰일난거양?
척추측만증,허리가 꾸부정하게 아파서 한쪽으로치우치는 느낌인데 이거 왜 이럴까?
근위축성 측삭 경화증,요새 자꾸팔이랑 다리가 힘이 없고 저릿저릿 기분 나쁘게 이상한데 왜 이러지?
로타바이러스,뱃속이 꾸르륵거리면서 갑자기 배아프고설사까지하는데 이거왜이래?
천장관절염,엉덩이 쪽이 찌릿찌릿 아프고 걷기도 힘든데이거 뭐야?
허위성 장애,"자꾸 어픈 척하게되고, 이상하게 나도 모르게 거짓말이 술술 나와,이거 왜잉러지?"
각차단,"눈앞이 갑자기 깜깜,띵- 하면서 숨쉬기 힘들고 가슴이콱 막히는느낌인데 이거 뭐야?"
색각 이상,이거 빨간색이랑 초록색이랑 헷갈려서 눈이 이상한거 같아... 나만 그런거야?
신생아 여드름,으리 아가얼굴이 오돌토돌 뭐가 올랐는데 간질간질 해보일까봐 걱정돼ㅠㅠ
건성 황반변성,"시야가 흐릿흐릿 해지고 물체들이출렁출렁 일그러져 보이니까 뭔가불안한데, 괜찮은거겠지?"
횡문근육종,"근육이 막 욱신욱신 붓고 멍도 드는데,이거 왜이래?"
신체 이형 장애,거울 볼 때마다맘에 안들고 자꾸 찝찝하게 신경쓰이는게 점점 심해지는듯...라 왜 이러지?
양극성 장애,기분잉하늘을 찔렀다 땅으로 쿵하고 내려앉는데 이게 뭔일이래?
만성 피로 증후군,맨날 피곤하고머리가 멍한데 잠을 푹 자도 왜 이러지? 몸이천근만근이야.
슬와 동맥 포착증,무릎뒤가 찌릿찌릿하고 당겨서걷기도 불편한데 왜 계속 이런 꺼야?
가족성 지중해열,"배가 콕콕 아프고 열이 훅훅 나는께몇일째 이러니까 걱정되네, 혹시 문제있는거야?"
질 무형성증,배가 빵빵하고 뭔가묵직한데.. 이거 왜이래.. 잉상한 거지?
대장균,배가요동치듯 살살 아프고 꾸르륵 소리까지 나는데 이거 뭐지?
기면증,"하루종일 꾸벅꾸벅 졸리고 눈이 자꾸 감겨서힘드네, 이거 왜 이러지?"
탄저병,피부가빨갛고 물집 잡혀서 따끔따끔한데 이거 왜 이래?
무월경,요즘 생리가 깜깜무소식인데스트레스인가...?
뇌진탕 후 증후군,"머리가 띵하고 아지럽고, 뭐랄까... 멍한 느낌애 속도 메스껍고 나 왜이래?"
폐부종,"숨이가빠서 헉헉대고, 가슴이 꽉 막힌 것처럼 답답한데 어쩌면 좋지?"
바이러스 출혈열,"열나고 온몸이 쑤시고 멍든 것처럼 아픈데, 이거왠지 심각한 거아냐?"
림프종,몸이 자꾸 피곤하고 자고 일어나도 퉁퉁 부아있는데 왜이러지...
말초 신경병증,"발끝이 저릿저릿하고 찌릿찌릿한게 걷기 너무 불편한데, 왜 이럴까?"
호너 증후군,눈 한쪽이 축 처지고 뭔가 흐릿해지면서 땀은안나늘데 잉거 뭐지?
여성 불임증,매달 찌릿찌릿한데 소식이없으닝 왜 잉럴까좀 불안해진따.
욕창,"엉덩이나 등쪽이 계속 붉게 변하고 따끔따끔,움직일때마다 쿡쿡쑤시는데 왜 이러지?"
기관지염,가슴이 쿨럭쿨럭 답답하고 기침이멈추질 않아죽겠어ㅠㅠ 왜이래?
자율 신경병증,요즘 손끝이랑 발끝이 자꾸 저릿저릿하고따끔따끔 꺼려서 걷기도 불편한데 왜 이러지?
운동 유발 천식,헉 운동 조금만 해도 숨이 쌕쌕거리고 숨쉬기가 너무 힘들어지는데 뭐야 이거?
경도 인지 장애,용즘 깜빡깜빡거리고 어디다 뒀는지도 자꾸 생각이 안 나서 큰일이네...
수포성 천포창,피부가 물집잡히고 쓰라리고 따끔한데 이거 진짜 왜이래?
아토피 피부염 습진,간지럽고 따가워서 긁다가 빨갛고 꺼칠아졌는데 나만 그런거야?
골프 엘보우,팔꿈치가 찌릿찌릿아프고 물건 들 때마다 욱신거리는데 잉거 왜 이래?
육종,덩어리가 점점 커지고 꾸르륵거리면서 아픈데 이거 좀 무섭네.
사랑니,잇몸이 막욱신욱신 아프고씹을때 찌릿찌릿한데이거사랑니 때문인가?
유문 협착증,배가 꽉꽉 막힌 거 같고 먹을때마다 울렁거리고 게워내니까 너무 힘들어.
고환암 치료,여기저기 욱씬거리고 무꺼운데혹시 뭐큰병이라도 생긴거야?
